ambito,indicador,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Puno,poblacion_total_urbana,445977.0,465341.0,485253.0,505617.0,526334.0,547288.0,568384.0,589634.0,611088.0,632817.0,654916.0,677357.0,700058.0,723044.0,746338.0,769967.0
Puno,poblacion_total_rural,777978.0,772953.0,767401.0,761215.0,754295.0,746555.0,737842.0,728277.0,718184.0,707867.0,697607.0,687395.0,677064.0,666640.0,656158.0,645641.0
San Martin,poblacion_total_urbana,346354.0,359297.0,371994.0,384625.0,397385.0,410478.0,423953.0,437662.0,451519.0,465444.0,479353.0,493251.0,507181.0,521115.0,535028.0,548889.0
San Martin,poblacion_total_rural,315698.0,315893.0,315433.0,314521.0,313347.0,312089.0,310736.0,309182.0,307455.0,305577.0,303579.0,301479.0,299271.0,296946.0,294492.0,291901.0
Tacna,poblacion_total_urbana,228876.0,234279.0,239591.0,244794.0,249865.0,254785.0,259516.0,264069.0,268495.0,272850.0,277188.0,281508.0,285772.0,289984.0,294146.0,298263.0
Tacna,poblacion_total_rural,40157.0,40599.0,41005.0,41372.0,41698.0,41982.0,42212.0,42392.0,42543.0,42684.0,42833.0,42990.0,43143.0,43292.0,43437.0,43575.0
Tumbes,poblacion_total_urbana,152851.0,158444.0,163977.0,169439.0,174816.0,180098.0,185302.0,190433.0,195457.0,200344.0,205059.0,209615.0,214036.0,218312.0,222428.0,226373.0
Tumbes,poblacion_total_rural,32015.0,30157.0,28359.0,26624.0,24955.0,23354.0,21823.0,20365.0,18982.0,17673.0,16439.0,15280.0,14191.0,13168.0,12210.0,11312.0
Ucayali,poblacion_total_urbana,263715.0,273159.0,282301.0,291249.0,300119.0,309034.0,318005.0,326937.0,335786.0,344512.0,353082.0,361467.0,369680.0,377748.0,385697.0,393554.0
Ucayali,poblacion_total_rural,126546.0,125782.0,124726.0,123455.0,122039.0,120542.0,118962.0,117272.0,115498.0,113665.0,111793.0,109884.0,107936.0,105960.0,103967.0,101968.0
Ancash,poblacion_total_urbana,527013.0,538403.0,549883.0,561442.0,573064.0,584737.0,596467.0,608249.0,620040.0,631810.0,643535.0,655249.0,666970.0,678645.0,690220.0,701639.0
Ancash,poblacion_total_rural,522366.0,518081.0,513627.0,509008.0,504231.0,499301.0,494170.0,488849.0,483441.0,478039.0,472730.0,467543.0,462421.0,457317.0,452189.0,446995.0
